Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Droprate (%),Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1628776595.953818,1628776595.966357,550,12.538909912109375,40,7,5,8858,1329,11,5,8700,983,
1628776596.993117,1628776597.006459,551,13.341903686523438,40,7,5,8845,1329,11,5,8687,983,
1628776598.034483,1628776598.047074,552,12.591123580932617,40,7,5,8855,1329,11,5,8697,983,
1628776599.071416,1628776599.082734,553,11.318206787109375,40,7,5,8848,1329,11,5,8690,983,
1628776600.114448,1628776600.126194,554,11.745929718017578,40,7,7,8853,1475,11,7,8695,1045,
1628776601.163635,1628776601.17495,555,11.314868927001953,40,7,5,8849,1329,11,5,8691,983,
1628776602.203806,1628776602.21873,556,14.924049377441406,40,11,5,9257,1329,15,5,8931,983,
1628776603.243651,1628776603.25501,557,11.358976364135742,40,9,5,9087,1326,13,5,8842,983,
1628776604.287538,1628776604.301064,558,13.525962829589844,40,7,5,8843,1329,11,5,8685,983,
1628776605.326145,1628776605.340927,559,14.781951904296875,40,7,5,8851,1329,11,5,8693,983,
1628776606.365718,1628776606.37854,560,12.822151184082031,40,7,5,8853,1329,11,5,8695,983,
1628776607.414417,1628776607.426173,561,11.755943298339844,40,7,5,8854,1329,11,5,8696,983,
1628776608.451394,1628776608.466802,562,15.407800674438477,40,11,5,9252,1329,15,5,8926,983,
1628776609.48995,1628776609.502721,563,12.771129608154297,40,7,5,8849,1329,11,5,8691,983,
1628776610.534257,1628776610.547047,564,12.78996467590332,40,7,5,8854,1329,11,5,8696,983,
1628776611.586875,1628776611.598405,565,11.529922485351562,40,7,5,8859,1329,11,5,8701,983,
1628776612.631442,1628776612.643148,566,11.705875396728516,40,7,5,8852,1329,11,5,8694,983,
1628776613.686664,1628776613.702131,567,15.466928482055664,40,7,5,8853,1329,11,5,8695,983,
1628776614.724929,1628776614.736972,568,12.042999267578125,40,7,5,8852,1329,11,5,8694,983,
1628776615.781341,1628776615.794188,569,12.846946716308594,40,7,5,8858,1329,11,5,8700,983,
1628776616.819036,1628776616.832663,570,13.627052307128906,40,9,5,9033,1329,13,5,8791,983,
1628776617.865249,1628776617.878245,571,12.996196746826172,40,7,5,8858,1329,11,5,8700,983,
1628776618.922324,1628776618.934033,572,11.708974838256836,40,7,5,8844,1329,11,5,8686,983,
1628776619.986029,1628776619.997426,573,11.397123336791992,40,7,5,8842,1329,11,5,8684,983,
1628776621.040206,1628776621.052332,574,12.125968933105469,40,9,5,9080,1326,13,5,8835,983,
1628776622.076633,1628776622.089347,575,12.713909149169922,40,9,5,9077,1329,13,5,8835,983,
1628776623.117656,1628776623.129691,576,12.034893035888672,40,11,5,9253,1329,15,5,8927,983,
1628776624.160825,1628776624.173359,577,12.533903121948242,40,7,7,8854,1475,11,7,8696,1045,
1628776625.206427,1628776625.218362,578,11.934995651245117,40,7,5,8851,1329,11,5,8693,983,
1628776626.240661,1628776626.253285,579,12.624025344848633,40,7,7,8850,1475,11,7,8692,1045,
1628776627.29709,1628776627.312856,580,15.765905380249023,40,9,5,9081,1329,13,5,8839,983,
1628776628.356846,1628776628.368987,581,12.140989303588867,40,7,6,8845,1404,11,6,8687,1016,
1628776629.401995,1628776629.418456,582,16.46113395690918,40,9,5,9028,1329,13,5,8786,983,
1628776630.455309,1628776630.46686,583,11.551141738891602,40,7,5,8848,1329,11,5,8690,983,
1628776631.505529,1628776631.517362,584,11.83319091796875,40,7,5,8846,1329,11,5,8688,983,
1628776632.558809,1628776632.570532,585,11.723041534423828,40,7,5,8851,1329,11,5,8693,983,
1628776633.623103,1628776633.634438,586,11.335134506225586,40,7,5,8857,1329,11,5,8699,983,
1628776634.663134,1628776634.674522,587,11.387825012207031,40,7,5,8845,1329,11,5,8687,983,
1628776635.718677,1628776635.730473,588,11.795997619628906,40,7,5,8848,1329,11,5,8690,983,
1628776636.780791,1628776636.794003,589,13.211965560913086,40,9,5,9078,1326,13,5,8833,983,
1628776637.822333,1628776637.834792,590,12.45880126953125,40,9,5,9035,1329,13,5,8793,983,
1628776638.871225,1628776638.882951,591,11.725902557373047,40,11,5,9265,1326,15,5,8936,983,
1628776639.91003,1628776639.922531,592,12.501001358032227,40,7,5,8862,1329,11,5,8704,983,
1628776640.949697,1628776640.961447,593,11.749982833862305,40,7,5,8842,1329,11,5,8684,983,
1628776641.982581,1628776641.994308,594,11.727094650268555,40,7,5,8856,1329,11,5,8698,983,
1628776643.013379,1628776643.026515,595,13.135910034179688,40,7,5,8850,1329,11,5,8692,983,
1628776644.062608,1628776644.074412,596,11.80410385131836,40,7,5,8854,1329,11,5,8696,983,
1628776645.099942,1628776645.111398,597,11.456012725830078,40,9,5,9084,1326,13,5,8839,983,
1628776646.138479,1628776646.150037,598,11.558055877685547,40,7,7,8855,1475,11,7,8697,1045,
1628776647.181939,1628776647.193486,599,11.547088623046875,40,9,5,9073,1326,13,5,8828,983,
1628776648.239621,1628776648.251425,600,11.80410385131836,40,7,5,8851,1329,11,5,8693,983,
1628776649.290177,1628776649.302622,601,12.44497299194336,40,9,5,9033,1329,13,5,8791,983,
1628776650.333325,1628776650.345655,602,12.330055236816406,40,7,5,8851,1329,11,5,8693,983,
1628776651.377067,1628776651.38931,603,12.242794036865234,40,9,5,9071,1326,13,5,8826,983,
1628776652.417928,1628776652.430936,604,13.00811767578125,40,7,5,8850,1329,11,5,8692,983,
1628776653.461592,1628776653.474046,605,12.454032897949219,40,7,5,8845,1329,11,5,8687,983,
1628776654.506173,1628776654.518531,606,12.35818862915039,40,7,5,8856,1329,11,5,8698,983,
1628776655.551646,1628776655.565134,607,13.488054275512695,40,7,5,8853,1329,11,5,8695,983,
1628776656.605366,1628776656.61857,608,13.204097747802734,40,9,5,9080,1329,13,5,8838,983,
1628776657.646145,1628776657.660955,609,14.809846878051758,40,7,5,8842,1329,11,5,8684,983,
1628776658.693199,1628776658.706714,610,13.514995574951172,40,9,5,9076,1329,13,5,8834,983,
1628776659.741023,1628776659.752477,611,11.453866958618164,40,7,5,8903,1326,11,5,8742,983,
1628776660.780814,1628776660.793671,612,12.85696029663086,40,7,5,8839,1329,11,5,8681,983,
1628776661.843529,1628776661.85556,613,12.031078338623047,40,11,5,9251,1329,15,5,8925,983,
1628776662.879862,1628776662.892657,614,12.794971466064453,40,11,5,9265,1329,15,5,8939,983,
1628776663.913202,1628776663.926653,615,13.450860977172852,40,7,5,8848,1329,11,5,8690,983,
1628776664.948784,1628776664.961087,616,12.302875518798828,40,7,5,8901,1326,11,5,8740,983,
1628776665.986436,1628776665.997626,617,11.190176010131836,40,7,5,8849,1329,11,5,8691,983,
1628776667.030078,1628776667.04251,618,12.432098388671875,40,7,5,8859,1329,11,5,8701,983,
1628776668.071951,1628776668.084734,619,12.783050537109375,40,7,5,8844,1329,11,5,8686,983,
1628776669.113588,1628776669.125465,620,11.876821517944336,40,9,5,9079,1329,13,5,8837,983,
1628776670.165463,1628776670.180868,621,15.404939651489258,40,7,7,8849,1475,11,7,8691,1045,
1628776671.214942,1628776671.226515,622,11.573076248168945,40,9,5,9082,1326,13,5,8837,983,
1628776672.255652,1628776672.269325,623,13.673067092895508,40,7,7,8856,1475,11,7,8698,1045,
1628776673.322323,1628776673.333647,624,11.323928833007812,40,7,5,8844,1329,11,5,8686,983,
1628776674.367225,1628776674.380503,625,13.278007507324219,40,11,5,9265,1329,15,5,8939,983,
1628776675.449231,1628776675.463311,626,14.080047607421875,40,7,5,8855,1329,11,5,8697,983,
1628776676.501541,1628776676.516942,627,15.401124954223633,40,7,5,8852,1329,11,5,8694,983,
1628776677.540691,1628776677.553858,628,13.167142868041992,40,9,5,9074,1326,13,5,8829,983,
1628776678.576274,1628776678.588934,629,12.660026550292969,40,9,5,9065,1329,13,5,8823,983,
1628776679.629186,1628776679.643931,630,14.744997024536133,40,7,5,8848,1329,11,5,8690,983,
1628776680.681389,1628776680.692985,631,11.595964431762695,40,7,5,8846,1329,11,5,8688,983,
1628776681.735608,1628776681.746794,632,11.185884475708008,40,9,5,9080,1329,13,5,8838,983,
1628776682.777155,1628776682.789394,633,12.23897933959961,40,7,5,8900,1326,11,5,8739,983,
1628776683.823317,1628776683.834818,634,11.500835418701172,40,9,5,9079,1326,13,5,8834,983,
1628776684.858483,1628776684.870327,635,11.84391975402832,40,9,5,9075,1326,13,5,8830,983,
1628776685.893768,1628776685.906797,636,13.028860092163086,40,9,5,9030,1329,13,5,8788,983,
1628776686.954325,1628776686.966744,637,12.418985366821289,40,11,5,9254,1329,15,5,8928,983,
1628776687.989806,1628776688.001705,638,11.898994445800781,40,7,5,8854,1329,11,5,8696,983,
1628776689.028629,1628776689.042165,639,13.53597640991211,40,9,5,9081,1329,13,5,8839,983,
