Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Droprate (%),Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1628780798.310955,1628780798.314205,2722,3.2498836517333984,40,11,5,13424,1329,15,5,13098,983,
1628780799.335272,1628780799.3402,2723,4.927873611450195,40,13,5,13599,1329,17,5,13189,983,
1628780800.362174,1628780800.366624,2724,4.450082778930664,40,13,5,13600,1329,17,5,13190,983,
1628780801.388703,1628780801.393923,2725,5.219936370849609,40,11,5,13419,1329,15,5,13093,983,
1628780802.429379,1628780802.438099,2726,8.719921112060547,40,13,7,13599,1475,17,7,13189,1045,
1628780803.469275,1628780803.475673,2727,6.39796257019043,40,13,5,13602,1329,17,5,13192,983,
1628780804.506608,1628780804.510731,2728,4.12297248840332,40,13,5,13608,1329,17,5,13198,983,
1628780805.537861,1628780805.54279,2729,4.928827285766602,40,11,5,13429,1329,15,5,13103,983,
1628780806.575968,1628780806.580873,2730,4.904985427856445,40,11,7,13427,1475,15,7,13101,1045,
1628780807.609885,1628780807.615496,2731,5.610942840576172,40,15,5,13775,1331,19,5,13283,983,
1628780808.639756,1628780808.645232,2732,5.4759979248046875,40,13,5,13606,1329,17,5,13196,983,
1628780809.670286,1628780809.673638,2733,3.3521652221679688,40,11,5,13420,1329,15,5,13094,983,
1628780810.708707,1628780810.712979,2734,4.271984100341797,40,13,5,13605,1329,17,5,13195,983,
1628780811.74224,1628780811.74967,2735,7.430076599121094,40,13,5,13599,1329,17,5,13189,983,
1628780812.775681,1628780812.782536,2736,6.855010986328125,40,15,5,13832,1329,19,5,13338,983,
1628780813.816031,1628780813.822513,2737,6.482124328613281,40,15,5,13836,1326,19,5,13339,983,
1628780814.850062,1628780814.854779,2738,4.717111587524414,40,13,5,13607,1329,17,5,13197,983,
1628780815.877405,1628780815.882294,2739,4.889011383056641,40,11,5,13425,1329,15,5,13099,983,
1628780816.911655,1628780816.917553,2740,5.897998809814453,40,11,5,13429,1329,15,5,13103,983,
1628780817.952025,1628780817.957547,2741,5.522012710571289,40,19,5,14140,1329,22,5,13478,983,
1628780818.983906,1628780818.993431,2742,9.525060653686523,40,17,5,13954,1329,21,5,13376,983,
1628780820.030257,1628780820.038466,2743,8.208990097045898,40,15,5,13779,1329,19,5,13285,983,
1628780821.062555,1628780821.07036,2744,7.80487060546875,40,17,5,13958,1329,21,5,13380,983,
1628780822.114857,1628780822.122026,2745,7.169008255004883,40,13,5,13602,1329,17,5,13192,983,
1628780823.150047,1628780823.156425,2746,6.377935409545898,40,15,5,13775,1329,19,5,13281,983,
1628780824.200029,1628780824.206931,2747,6.902217864990234,40,15,5,13776,1329,18,5,13282,983,
1628780825.234478,1628780825.24252,2748,8.042097091674805,40,15,5,13778,1329,19,5,13284,983,
1628780826.270094,1628780826.277061,2749,6.967067718505859,40,16,5,13868,1329,19,5,13332,983,
1628780827.29947,1628780827.304846,2750,5.376100540161133,40,17,5,13965,1329,21,5,13387,983,
1628780828.337742,1628780828.343776,2751,6.033897399902344,40,13,5,13598,1329,17,5,13188,983,
1628780829.369804,1628780829.375328,2752,5.524158477783203,40,13,5,13608,1329,17,5,13198,983,
1628780830.410654,1628780830.417271,2753,6.616830825805664,40,13,5,13601,1329,17,5,13191,983,
1628780831.442001,1628780831.45058,2754,8.578777313232422,40,13,5,13608,1329,17,5,13198,983,
1628780832.482782,1628780832.487148,2755,4.366159439086914,40,11,5,13428,1331,15,5,13104,983,
1628780833.522404,1628780833.52976,2756,7.355928421020508,40,13,5,13598,1329,17,5,13188,983,
1628780834.551101,1628780834.555206,2757,4.105091094970703,40,13,5,13601,1329,17,5,13191,983,
1628780835.598842,1628780835.606825,2758,7.983207702636719,40,13,5,13600,1329,17,5,13190,983,
