Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Droprate (%),Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1628782210.262162,1628782210.269377,3071,7.215023040771484,40,6,5,6628,1329,10,5,6512,983,
1628782211.299151,1628782211.306638,3072,7.487058639526367,40,6,5,6640,1329,10,5,6524,983,
1628782212.340837,1628782212.348508,3073,7.670879364013672,40,6,5,6632,1329,10,5,6516,983,
1628782213.377079,1628782213.38452,3074,7.441043853759766,40,6,5,6635,1329,10,5,6519,983,
1628782214.41908,1628782214.430218,3075,11.137962341308594,40,6,5,6632,1329,10,5,6516,983,
1628782215.452693,1628782215.460256,3076,7.563114166259766,40,6,5,6633,1329,10,5,6517,983,
1628782216.484348,1628782216.490687,3077,6.338834762573242,40,8,5,6868,1329,12,5,6668,983,
1628782217.516234,1628782217.52286,3078,6.626129150390625,40,6,5,6639,1329,10,5,6523,983,
1628782218.566571,1628782218.574012,3079,7.441043853759766,40,6,5,6628,1329,10,5,6512,983,
1628782219.614197,1628782219.622586,3080,8.388996124267578,40,6,5,6638,1329,10,5,6522,983,
1628782220.670904,1628782220.678659,3081,7.755041122436523,40,8,5,6810,1329,12,5,6610,983,
1628782221.727581,1628782221.736767,3082,9.186029434204102,40,6,5,6639,1329,10,5,6523,983,
1628782222.782073,1628782222.788972,3083,6.8988800048828125,40,6,5,6642,1329,10,5,6526,983,
1628782223.814806,1628782223.822423,3084,7.616996765136719,40,6,5,6640,1329,10,5,6524,983,
1628782224.843775,1628782224.850815,3085,7.0400238037109375,40,6,5,6638,1329,10,5,6522,983,
1628782225.876036,1628782225.885269,3086,9.23299789428711,40,6,5,6633,1329,10,5,6517,983,
1628782226.909406,1628782226.916528,3087,7.122039794921875,40,6,5,6636,1329,10,5,6520,983,
1628782227.948514,1628782227.955219,3088,6.705045700073242,40,8,5,6872,1329,12,5,6672,983,
1628782228.98369,1628782228.990778,3089,7.087945938110352,40,6,5,6629,1329,10,5,6513,983,
1628782230.013519,1628782230.020511,3090,6.991863250732422,40,6,5,6644,1329,10,5,6528,983,
1628782231.054337,1628782231.062585,3091,8.248090744018555,40,6,5,6638,1329,10,5,6522,983,
1628782232.083863,1628782232.09087,3092,7.00688362121582,40,6,5,6641,1329,10,5,6525,983,
1628782233.122644,1628782233.130644,3093,8.00013542175293,40,6,5,6637,1329,10,5,6521,983,
1628782234.153568,1628782234.161719,3094,8.151054382324219,40,6,5,6634,1329,10,5,6518,983,
1628782235.19555,1628782235.203115,3095,7.565021514892578,40,10,5,7045,1329,14,5,6761,983,
1628782236.23171,1628782236.238178,3096,6.468057632446289,40,6,7,6633,1475,10,7,6517,1045,
1628782237.266066,1628782237.273914,3097,7.848024368286133,40,8,5,6862,1326,12,5,6659,983,
1628782238.296622,1628782238.303166,3098,6.543874740600586,40,6,6,6628,1403,10,6,6512,1015,
1628782239.327522,1628782239.335299,3099,7.776975631713867,40,10,5,7050,1329,14,5,6766,983,
1628782240.394884,1628782240.403194,3100,8.30984115600586,40,6,5,6633,1329,10,5,6517,983,
1628782241.434408,1628782241.442991,3101,8.58306884765625,40,6,5,6633,1329,10,5,6517,983,
1628782242.470884,1628782242.477966,3102,7.0819854736328125,40,6,5,6632,1329,10,5,6516,983,
1628782243.514519,1628782243.521834,3103,7.314920425415039,40,6,5,6640,1329,10,5,6524,983,
1628782244.546348,1628782244.553739,3104,7.3909759521484375,40,6,5,6639,1329,10,5,6523,983,
1628782245.613319,1628782245.621001,3105,7.682085037231445,40,6,5,6641,1329,10,5,6525,983,
1628782246.671525,1628782246.678287,3106,6.762027740478516,40,6,5,6634,1329,10,5,6518,983,
1628782247.708896,1628782247.718515,3107,9.618997573852539,40,8,5,6864,1329,12,5,6664,983,
1628782248.751779,1628782248.758766,3108,6.986856460571289,40,6,5,6638,1329,10,5,6522,983,
1628782249.779665,1628782249.787241,3109,7.57598876953125,40,6,5,6633,1329,10,5,6517,983,
1628782250.830356,1628782250.838738,3110,8.382081985473633,40,6,5,6629,1329,10,5,6513,983,
1628782251.867176,1628782251.877101,3111,9.924888610839844,40,6,5,6644,1329,10,5,6528,983,
1628782252.900791,1628782252.909321,3112,8.530139923095703,40,10,5,7046,1329,14,5,6762,983,
1628782253.937358,1628782253.944753,3113,7.395029067993164,40,6,5,6635,1329,10,5,6519,983,
1628782254.97104,1628782254.978805,3114,7.765054702758789,40,6,5,6637,1329,10,5,6521,983,
1628782256.014334,1628782256.021142,3115,6.808042526245117,40,6,5,6642,1329,10,5,6526,983,
1628782257.049782,1628782257.057434,3116,7.652044296264648,40,6,5,6631,1329,10,5,6515,983,
