RSA,Dilithium 2,Dilithium 3,Dilithium 5,Falcon 512,Falcon 1024,
399.37496185302734,391.312837600708,395.33114433288574,407.57083892822266,384.5560550689697,368.7310218811035,
384.22107696533203,403.8119316101074,398.8041877746582,409.97886657714844,355.64279556274414,390.07091522216797,
399.60193634033203,379.76908683776855,416.59092903137207,388.6089324951172,379.26793098449707,371.5498447418213,
393.9390182495117,373.0340003967285,363.4068965911865,391.73078536987305,370.6808090209961,364.0878200531006,
373.7220764160156,378.2360553741455,391.62588119506836,405.60102462768555,367.66505241394043,402.7597904205322,
399.3549346923828,400.96092224121094,388.9470100402832,404.1171073913574,387.2029781341553,371.4721202850342,
393.42212677001953,400.73490142822266,400.285005569458,370.41521072387695,372.0388412475586,394.49095726013184,
399.6279239654541,370.0549602508545,393.6171531677246,365.86689949035645,371.8240261077881,405.1339626312256,
402.15110778808594,396.8019485473633,388.98301124572754,385.98108291625977,390.5138969421387,406.0969352722168,
394.84095573425293,400.54988861083984,408.9198112487793,392.319917678833,374.67002868652344,393.69988441467285,
402.4660587310791,380.33604621887207,376.6510486602783,363.92807960510254,393.2628631591797,389.76597785949707,
399.7020721435547,383.23116302490234,389.79291915893555,400.5780220031738,371.1438179016113,395.4341411590576,
393.2220935821533,389.4779682159424,361.4001274108887,392.35997200012207,385.0369453430176,365.6589984893799,
380.5878162384033,404.54792976379395,377.8829574584961,391.5238380432129,350.55088996887207,389.44196701049805,
396.43216133117676,387.48693466186523,420.54009437561035,411.00001335144043,348.1791019439697,389.5280361175537,
389.4531726837158,359.6069812774658,394.58703994750977,384.03797149658203,355.23486137390137,386.62004470825195,
386.8880271911621,400.8610248565674,401.9911289215088,402.4989604949951,374.1269111633301,364.12692070007324,
385.99205017089844,389.5728588104248,365.8771514892578,364.3660545349121,350.5690097808838,373.49700927734375,
391.0360336303711,379.40192222595215,418.2090759277344,391.10302925109863,367.43688583374023,388.55814933776855,
386.92688941955566,370.0520992279053,392.52305030822754,396.1951732635498,361.02914810180664,395.89500427246094,
402.1639823913574,375.42104721069336,400.9690284729004,398.8311290740967,389.9109363555908,394.97995376586914,
393.0699825286865,399.8279571533203,391.571044921875,411.4840030670166,377.50792503356934,390.5630111694336,
400.3610610961914,380.92899322509766,376.09004974365234,386.48009300231934,367.9349422454834,364.7129535675049,
394.6189880371094,405.7178497314453,411.1509323120117,403.28311920166016,376.8801689147949,394.33908462524414,
