RSA,Dilithium 2,Dilithium 3,Dilithium 5,Falcon 512,Falcon 1024,
Handshake duration (ms),Handshake duration (ms),Handshake duration (ms),Handshake duration (ms),Handshake duration (ms),Handshake duration (ms),
396.32201194763184,379.1329860687256,403.40590476989746,408.7369441986084,365.7879829406738,368.5789108276367,
390.01917839050293,408.9491367340088,368.7450885772705,394.5920467376709,368.24488639831543,372.57885932922363,
377.52294540405273,410.1400375366211,401.49712562561035,398.9830017089844,354.39109802246094,369.43602561950684,
397.2949981689453,368.10994148254395,355.8962345123291,403.52797508239746,365.21100997924805,385.1430416107178,
395.19596099853516,395.36595344543457,408.8270664215088,393.4929370880127,373.5008239746094,396.62694931030273,
371.00982666015625,367.99097061157227,367.50102043151855,398.08106422424316,388.66686820983887,387.2218132019043,
403.2020568847656,406.11910820007324,421.43917083740234,404.2849540710449,358.6158752441406,405.13014793395996,
384.7990036010742,407.34291076660156,402.2488594055176,361.051082611084,368.49498748779297,384.5360279083252,
388.26608657836914,371.8078136444092,429.89206314086914,426.72204971313477,395.5080509185791,380.9230327606201,
387.71605491638184,406.91399574279785,401.4410972595215,394.12593841552734,367.3059940338135,390.69294929504395,
383.76402854919434,408.04600715637207,403.76901626586914,410.95495223999023,390.3160095214844,365.19908905029297,
384.67907905578613,364.6409511566162,387.01581954956055,392.672061920166,366.2140369415283,388.21911811828613,
371.02603912353516,441.59698486328125,404.8938751220703,391.16811752319336,398.87309074401855,395.3380584716797,
395.74480056762695,394.183874130249,408.20884704589844,379.81200218200684,378.8440227508545,386.90996170043945,
377.1071434020996,408.3712100982666,382.2150230407715,406.64005279541016,390.1560306549072,385.9531879425049,
392.596960067749,411.2100601196289,401.35884284973145,359.1890335083008,391.6342258453369,397.00794219970703,
409.696102142334,393.8868045806885,421.02599143981934,414.0908718109131,379.9769878387451,381.4568519592285,
396.5320587158203,398.03099632263184,412.5399589538574,396.3901996612549,363.9869689941406,391.9100761413574,
385.96296310424805,404.4020175933838,395.42412757873535,369.7350025177002,399.43599700927734,396.3639736175537,
396.32201194763184,407.5319766998291,371.0899353027344,398.8690376281738,375.16307830810547,393.7399387359619,
385.4539394378662,408.1549644470215,365.6589984893799,403.1808376312256,382.2479248046875,384.21010971069336,
394.5648670196533,416.7602062225342,407.8550338745117,404.60205078125,363.91687393188477,384.5369815826416,
378.7190914154053,389.8940086364746,404.5708179473877,383.84294509887695,371.0498809814453,366.39976501464844,
383.1338882446289,412.10079193115234,361.0708713531494,390.4738426208496,376.2528896331787,360.1799011230469,
398.205041885376,411.61298751831055,399.48296546936035,395.0498104095459,362.3027801513672,395.3540325164795,
380.4209232330322,388.10014724731445,360.80002784729004,402.8961658477783,391.42298698425293,377.9311180114746,
384.34910774230957,421.13685607910156,368.61300468444824,400.8951187133789,391.24202728271484,377.11596488952637,
386.45100593566895,404.5259952545166,415.07506370544434,408.17904472351074,399.6438980102539,380.6347846984863,
391.8638229370117,407.3219299316406,391.2389278411865,402.02903747558594,365.46993255615234,384.7048282623291,
390.73991775512695,392.9328918457031,376.1720657348633,364.5501136779785,395.1599597930908,363.06118965148926,
390.17510414123535,396.284818649292,390.11216163635254,424.9091148376465,382.14588165283203,389.70398902893066,
392.93718338012695,401.4549255371094,414.05797004699707,400.70104598999023,384.83500480651855,371.83523178100586,
363.2969856262207,390.8419609069824,366.34302139282227,388.23509216308594,388.0319595336914,376.3308525085449,
394.136905670166,407.7589511871338,374.59611892700195,397.34506607055664,384.9461078643799,404.8759937286377,
394.4270610809326,402.2979736328125,410.905122756958,363.92998695373535,385.77985763549805,368.2281970977783,
374.4339942932129,419.13700103759766,379.4710636138916,385.0901126861572,378.9198398590088,379.9271583557129,
373.6529350280762,405.99584579467773,420.21799087524414,403.7601947784424,370.4419136047363,385.2419853210449,
381.1647891998291,379.23312187194824,406.980037689209,416.20779037475586,383.2049369812012,402.0359516143799,
382.5688362121582,399.1270065307617,421.12112045288086,395.12014389038086,405.62891960144043,371.2501525878906,
387.84193992614746,385.7991695404053,402.5750160217285,407.40513801574707,396.24500274658203,397.56083488464355,
384.0060234069824,371.3951110839844,405.958890914917,420.1169013977051,365.5381202697754,374.2680549621582,
385.2970600128174,403.11503410339355,395.84803581237793,396.32296562194824,386.52491569519043,401.69286727905273,
369.7819709777832,367.4330711364746,420.4440116882324,393.6188220977783,388.6148929595947,384.0968608856201,
400.3570079803467,366.06383323669434,425.96912384033203,395.1258659362793,379.40311431884766,392.61698722839355,
396.40092849731445,420.835018157959,370.837926864624,415.0199890136719,368.5040473937988,392.7481174468994,
393.07188987731934,403.8360118865967,384.0019702911377,400.92992782592773,388.0798816680908,391.7889595031738,
369.16089057922363,371.0010051727295,397.9191780090332,405.3800106048584,361.0970973968506,392.56787300109863,
399.5809555053711,410.25495529174805,391.0219669342041,393.420934677124,402.1270275115967,383.8489055633545,
402.2519588470459,402.96101570129395,438.89498710632324,404.96015548706055,384.78803634643555,381.6049098968506,
386.48104667663574,421.6928482055664,423.08497428894043,358.9320182800293,385.2851390838623,392.82798767089844,
387.6049518585205,390.3019428253174,384.49811935424805,427.6080131530762,397.22704887390137,403.45001220703125,
380.79309463500977,398.98180961608887,401.84903144836426,407.8948497772217,383.2578659057617,400.41494369506836,
392.39001274108887,386.0359191894531,408.4188938140869,360.81695556640625,359.8780632019043,393.4359550476074,
389.58001136779785,398.5409736633301,399.8899459838867,366.2412166595459,370.2840805053711,390.34485816955566,
377.6209354400635,419.8000431060791,367.43903160095215,391.65306091308594,376.33204460144043,386.7471218109131,
388.9789581298828,403.78594398498535,395.15209197998047,403.2139778137207,379.7128200531006,389.265775680542,
386.0011100769043,370.6018924713135,390.880823135376,400.3758430480957,372.32518196105957,427.57201194763184,
390.78712463378906,423.7649440765381,366.61291122436523,373.427152633667,362.7970218658447,393.8279151916504,
388.1809711456299,409.76405143737793,407.92298316955566,397.5541591644287,389.6939754486084,387.52198219299316,
387.3441219329834,405.49683570861816,421.6439723968506,396.2252140045166,362.93816566467285,384.9210739135742,
368.2210445404053,402.60982513427734,380.0339698791504,410.61902046203613,382.4000358581543,400.238037109375,
378.8940906524658,410.3109836578369,392.4698829650879,393.718957901001,380.95903396606445,389.9068832397461,
381.695032119751,419.28791999816895,399.95503425598145,424.43108558654785,375.1680850982666,389.8770809173584,
377.4700164794922,414.031982421875,420.48001289367676,410.4650020599365,388.3059024810791,372.85900115966797,
395.14613151550293,399.9028205871582,362.03908920288086,393.5658931732178,371.78993225097656,401.42297744750977,
398.04816246032715,359.3020439147949,404.88195419311523,400.022029876709,393.1879997253418,387.5868320465088,
388.54193687438965,409.84487533569336,363.8601303100586,402.1930694580078,381.807804107666,390.8522129058838,
387.01820373535156,389.0199661254883,418.1389808654785,394.01912689208984,370.819091796875,400.0701904296875,
374.28903579711914,422.9280948638916,374.269962310791,381.1030387878418,388.81516456604004,377.5160312652588,
402.62794494628906,400.38490295410156,402.7280807495117,389.65797424316406,363.65604400634766,376.5730857849121,
385.53309440612793,371.14620208740234,377.6369094848633,376.94406509399414,381.37292861938477,400.6519317626953,
374.71580505371094,411.5619659423828,362.67805099487305,368.7281608581543,371.1581230163574,388.0908489227295,
