Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,,CPU utilization,Memory bytes,Disk bytes,
1637581332.967292,1637581332.971867,79,4.575014114379883,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,37.7,0,0,
1637581334.375131,1637581334.379471,80,4.340171813964844,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,7.5,0,0,
1637581335.714484,1637581335.723058,81,8.57400894165039,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,22.1,0,0,
1637581337.059278,1637581337.063059,82,3.7810802459716797,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,39.5,0,0,
1637581338.52033,1637581338.538515,83,18.185138702392578,dilithium2,100,drop,qwgbLvgDxN.pcap,12,5,7930,330,0,0,0,0,,1.0,0,0,
1637581340.112016,1637581340.119193,84,7.177114486694336,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,32.1,0,0,
1637581341.46365,1637581341.470929,85,7.278919219970703,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,5.6,0,0,
1637581342.879097,1637581342.887139,86,8.042097091674805,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,14.1,0,0,
1637581344.145012,1637581344.156316,87,11.304140090942383,dilithium2,100,drop,qwgbLvgDxN.pcap,10,5,7798,330,0,0,0,0,,33.0,0,0,
1637581345.679675,1637581345.684038,88,4.362821578979492,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,29.9,0,0,
1637581346.940472,1637581346.955028,89,14.556169509887695,dilithium2,100,drop,qwgbLvgDxN.pcap,11,5,7864,330,0,0,0,0,,12.6,0,0,
1637581348.393297,1637581348.408918,90,15.620946884155273,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,16.6,0,0,
1637581349.807145,1637581349.811874,91,4.728794097900391,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,26.0,0,0,
1637581351.294555,1637581351.299859,92,5.304098129272461,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,29.7,0,0,
1637581352.747212,1637581352.752671,93,5.459070205688477,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,30.7,0,0,
1637581354.183114,1637581354.187035,94,3.921031951904297,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,42.6,0,0,
1637581355.539372,1637581355.555532,95,16.160011291503906,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,10.9,0,0,
1637581356.954706,1637581356.970776,96,16.070127487182617,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,15.5,0,0,
1637581358.539045,1637581358.54344,97,4.395008087158203,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,10.2,0,0,
1637581359.995719,1637581360.021803,98,26.083946228027344,dilithium2,100,drop,qwgbLvgDxN.pcap,12,5,7930,330,0,0,0,0,,14.4,0,0,
