Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers
1634668971,1634668972,130,350.2631187,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5970,228,0,0,0,0
1634668976,1634668976,131,351.3679504,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5910,228,0,0,0,0
1634668980,1634668980,132,360.0490093,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5969,228,0,0,0,0
1634668984,1634668984,133,365.5469418,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5970,228,0,0,0,0
1634668988,1634668988,134,339.9529457,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5910,228,0,0,0,0
1634668992,1634668993,135,391.3431168,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5911,228,0,0,0,0
1634668997,1634668997,136,387.5751495,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5969,228,0,0,0,0
1634669001,1634669001,137,376.8079281,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5971,228,0,0,0,0
1634669005,1634669006,138,374.612093,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5967,228,0,0,0,0
1634669010,1634669010,139,373.8780022,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5908,228,0,0,0,0
1634669014,1634669014,140,344.0599442,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5966,228,0,0,0,0
1634669018,1634669018,141,357.8219414,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5966,228,0,0,0,0
1634669022,1634669022,142,354.4859886,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5966,228,0,0,0,0
1634669026,1634669027,143,382.5349808,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5972,228,0,0,0,0
1634669031,1634669031,144,337.3138905,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5917,228,0,0,0,0
1634669035,1634669035,145,383.6579323,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5910,228,0,0,0,0
1634669039,1634669039,146,386.8689537,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5972,228,0,0,0,0
1634669043,1634669044,147,350.8570194,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5970,228,0,0,0,0
1634669048,1634669048,148,387.1400356,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5968,228,0,0,0,0
1634669052,1634669052,149,359.2698574,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5906,228,0,0,0,0
1634669056,1634669057,150,370.511055,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5970,228,0,0,0,0
1634669061,1634669061,151,344.0480232,falcon1024,1000,drop,RddjaknVjh.pcap,14,4,6079,228,0,0,0,0
1634669065,1634669065,152,347.0470905,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5972,228,0,0,0,0
1634669069,1634669069,153,344.0101147,falcon1024,1000,drop,RddjaknVjh.pcap,13,4,6013,228,0,0,0,0
1634669073,1634669073,154,363.0650043,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5962,228,0,0,0,0
1634669077,1634669078,155,359.181881,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5969,228,0,0,0,0
1634669082,1634669082,156,372.355938,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5971,228,0,0,0,0
1634669086,1634669086,157,353.0480862,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5904,228,0,0,0,0
1634669090,1634669091,158,387.7761364,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5969,228,0,0,0,0
1634669094,1634669095,159,336.3170624,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5968,228,0,0,0,0
1634669099,1634669099,160,374.5651245,falcon1024,1000,drop,RddjaknVjh.pcap,14,4,6080,228,0,0,0,0
